01	8	第一单元_文明的产生和古代亚非文明/01_第1课_从原始社会到奴隶社会.pdf
02	5	第一单元_文明的产生和古代亚非文明/02_第2课_古代两河流域.pdf
03	4	第一单元_文明的产生和古代亚非文明/03_第3课_古代埃及.pdf
04	4	第一单元_文明的产生和古代亚非文明/04_第4课_古代印度.pdf
05	7	第七单元_第一次工业革命和马克思主义的诞生/19_第19课_第一次工业革命.pdf
06	6	第七单元_第一次工业革命和马克思主义的诞生/20_第20课_马克思主义的诞生.pdf
07	5	第七单元_第一次工业革命和马克思主义的诞生/21_第21课_第一国际和巴黎公社.pdf
08	2	第七单元_第一次工业革命和马克思主义的诞生/22_第22课_活动课_唱响《国际歌》.pdf
09	7	第三单元_封建时代的欧洲/07_第7课_法兰克王国和西欧封建制度.pdf
10	4	第三单元_封建时代的欧洲/08_第8课_西欧的城市和大学.pdf
11	5	第三单元_封建时代的欧洲/09_第9课_拜占庭帝国.pdf
12	8	第二单元_古代欧洲文明/05_第5课_古代希腊.pdf
13	6	第二单元_古代欧洲文明/06_第6课_古代罗马.pdf
14	7	第五单元_走向近代/13_第13课_西欧经济和社会发展与文艺复兴运动.pdf
15	5	第五单元_走向近代/14_第14课_探寻新航路.pdf
16	6	第五单元_走向近代/15_第15课_早期殖民掠夺.pdf
17	7	第六单元_资本主义制度的初步确立/16_第16课_美国资产阶级革命.pdf
18	5	第六单元_资本主义制度的初步确立/17_第17课_美国的独立.pdf
19	6	第六单元_资本主义制度的初步确立/18_第18课_法国大革命和拿破仑帝国.pdf
20	6	第四单元_中古时期的亚洲、非洲和美洲/10_第10课_封建时代的日本.pdf
21	5	第四单元_中古时期的亚洲、非洲和美洲/11_第11课_阿拉伯帝国.pdf
22	5	第四单元_中古时期的亚洲、非洲和美洲/12_第12课_中古时期的非洲和美洲.pdf
